ID;Name;Decade;Category
1890_1;Presentation Dress;1890;Dress
1890_2;Day dress;1890;Dress
1890_3;Bracelet, Belt - Japan;1890;Accessory
1890_4;Vanity Case - Japan;1890;Accessory
1890_5;Day Dress;1890;Dress
1890_6;Day Dress;1890;Dress
1890_7;Jacket, Bloomers - America;1890;Suit
1890_8;Ball Gown;1890;Dress
1890_9;Blouse, Skirt - America;1890;Suit
1890_10;Dinner Dress;1890;Dress
1890_11;Visite - France;1890;Coat
1890_12;Jacket, Skirt;1890;Suit
1890_13;Day Dress;1890;Dress
1890_14;Evening Dress;1890;Dress
1890_15;Fan - Japan;1890;Accessory
1890_16;Tea Gown - Japan;1890;Dress
1900_1;Suit (jacket, waistcoat, and trousers);1900;Suit
1900_2;Evening Coat (Theater Coat) for Export - Japan;1900;Coat
1900_3;Bag - Japan;1900;Accessory
1900_4;Kimono for Export - Japan;1900;Suit
1900_5;Dressing Jacket Kimono Sada Yacco;1900;Suit
1900_6;Evening Dress;1900;Dress
1900_7;Bag;1900;Accessory
1900_8;Evening Coat;1900;Coat
1900_9;Dress - Italy;1900;Dress
1900_10;Hat;1900;Accessory
1900_11;Day Dress;1900;Dress
1900_12;Day Dress;1900;Dress
1900_13;Evening Dress;1900;Dress
1900_14;Day Dress;1900;Dress
1900_15;Coat, Hood, Blouse, Skirt;1900;Suit
1900_16;Day Dress;1900;Dress
1900_17;Evening Dress;1900;Dress
1900_18;Swimsuits;1900;Suit
1900_19;Hat;1900;Accessory
1900_20;Corset;1900;Top
1900_21;At-Home Gown;1900;Coat
1900_22;Buttons - Japan;1900;Accessory
1910_1;Court Presentation Dress;1910;Dress
1910_2;Dress;1910;Dress
1910_3;Evening Dress;1910;Dress
1910_4;Evening Dress;1910;Dress
1910_5;Textile - France;1910;Accessory
1910_6;Textile - Japan;1910;Accessory
1910_7;Evening Dress;1910;Dress
1920_1;Cloche;1920;Accessory
1920_2;Illustration from Sonia Delaunay : ses peintures, ses objets, ses tissus simultans, ses modes;1920;Accessory
1920_3;Evening dress;1920;Dress
1920_4;Evening dress;1920;Dress
1920_5;Trunk;1920;Accessory
1920_6;Dress;1920;Dress
1920_7;Evening Coat;1920;Coat
1920_8;At-Home Gown;1920;Coat
1920_9;Evening Coat;1920;Coat
1920_10;Coat;1920;Coat
1920_11;Textile - France;1920;Accessory
1920_12;Evening Dress;1920;Dress
1920_13;Wedding Dress;1920;Dress
1920_14;Evening Coat;1920;Coat
1920_15;Dress;1920;Dress
1920_16;Dress;1920;Dress
1920_17;Evening Dress;1920;Dress
1920_18;Pajamas;1920;Suit
1920_19;Evening Dress;1920;Dress
1920_20;Evening Dress;1920;Dress
1920_21;Day Ensemble;1920;Suit
1920_22;Dress;1920;Dress
1920_23;Buckle, Compact Cases;1920;Accessory
1920_24;Day Dress;1920;Dress
1920_25;Heels - France;1920;Shoes
1920_26;Coat;1920;Coat
1920_27;Evening Cape;1920;Coat
1920_28;Evening Dress;1920;Dress
1920_29;"Evening Dress ""Henriette""";1920;Dress
1920_30;"Coat ""Mandarin""";1920;Coat
1920_31;Evening Dress;1920;Dress
1920_32;Dress;1920;Dress
1920_33;Pumps;1920;Shoes
1920_34;Brassiere;1920;Top
1920_35;Chemise;1920;Dress
1920_36;Riding Habit;1920;Suit
1920_37;Slippers - Japan;1920;Shoes
1930_1;Jacket;1930;Coat
1930_2;Evening Dress;1930;Dress
1930_3;Hostess Gown;1930;Dress
1930_4;Evening Cape;1930;Coat
1930_5;Evening Dress;1930;Dress
1930_6;Evening Coat;1930;Coat
1930_7;Evening Dress;1930;Dress
1930_8;Evening Dress;1930;Dress
1930_9;Dress;1930;Dress
1930_10;Evening Dress;1930;Dress
1930_11;Evening Dress;1930;Dress
1930_12;Ski Suit;1930;Suit
1930_13;Evening Dress;1930;Dress
1930_14;Evening Pajama;1930;Suit
1930_15;Hats;1930;Accessory
1930_16;Beachwear;1930;Suit
1940_1;Dress;1940;Dress
1940_2;Sandals;1940;Shoes
1940_3;Coat Dress;1940;Dress
1940_4;Evening Dress;1940;Dress
1940_5;Turban;1940;Accessory
1940_6;Suit;1940;Suit
1940_7;Suit;1940;Suit
1950_1;Evening Pumps;1950;Shoes
1950_2;Suit (jacket, waistcoat, and trousers);1950;Suit
1950_3;Dress;1950;Dress
1950_4;Evening Dress;1950;Dress
1950_5;Beachwear;1950;Suit
1950_6;Day Dress;1950;Dress
1950_7;Cocktail Dress;1950;Dress
1950_8;Pumps;1950;Shoes
1950_9;Cocktail Dress;1950;Dress
1950_10;"Dress ""Trapeze""";1950;Dress
1950_11;Day Ensemble;1950;Suit
1950_12;Evening Dress;1950;Dress
1950_13;Evening Wrap;1950;Top
1950_14;Evening Dress;1950;Dress
1950_15;Coat;1950;Coat
1950_16;Evening Dress;1950;Dress
1950_17;"Day Dress ""La Cigale""";1950;Dress
1950_18;Cocktail Dress;1950;Dress
1950_19;Swimsuit;1950;Suit
1960_1;Kabuki Dress - United States;1960;Dress
1960_2;Dress;1960;Dress
1960_3;Dress;1960;Dress
1960_4;Coat;1960;Coat
1960_5;Dress;1960;Dress
1960_6;Dress, Coat - United States;1960;Dress
1960_7;Pantsuit;1960;Suit
1960_8;Top, Ensemble, Beach Dress;1960;Top
1960_9;"Sandals ""Barefoot in the Grass""";1960;Shoes
1960_10;Dress;1960;Dress
1960_11;Pumps;1960;Shoes
1960_12;Dress;1960;Dress
1960_13;Vest, Knickerbockers, Sweater;1960;Suit
1960_14;"Dress ""The Souper Dress"" - United States";1960;Dress
1960_15;Day Ensembles;1960;Suit
1960_16;Dresses;1960;Dress
1960_17;"Dress ""Mondrian""";1960;Dress
1960_18;Cape;1960;Coat
1960_19;Swimsuit;1960;Suit
1960_20;Cocktail Dress;1960;Dress
1960_21;Evening Dress;1960;Dress
1960_22;"Pantsuit ""City Pants"", Safari Suit";1960;Suit
1960_23;Cocktail Dress;1960;Dress
1970_1;Suit (jacket and trousers);1970;Suit
1970_2;Trousers;1970;Suit
1970_3;Dress New York;1970;Dress
1970_4;Sandals;1970;Shoes
1970_5;Dress;1970;Dress
1970_6;Tunic, Pants;1970;Suit
1970_7;Shirt;1970;Top
1970_8;"Coat ""Tanzen""";1970;Coat
1970_9;Sweater, Blouse and Vest;1970;Top
1970_10;Sweaters;1970;Top
1970_11;"Dress ""Tattoo""";1970;Dress
1970_12;Smock, Jeans;1970;Suit
1970_13;Dresses;1970;Dress
1970_14;Coat;1970;Coat
1970_15;Dress;1970;Dress
1980_1;Coat;1980;Coat
1980_2;Book Kouros;1980;Accessory
1980_3;Dress;1980;Dress
1980_4;Evening dress;1980;Dress
1980_5;Dress;1980;Dress
1980_6;Dress - France;1980;Dress
1980_7;Pantsuits;1980;Suit
1980_8;Pantsuit;1980;Suit
1980_9;Shoes;1980;Shoes
1980_10;Dress;1980;Dress
1980_11;Suits;1980;Suit
1980_12;Jackets;1980;Top
1980_13;Bodice;1980;Top
1980_14;Dress;1980;Dress
1980_15;Dress;1980;Dress
1980_16;Smoking Jacket;1980;Top
1980_17;Top Skirt;1980;Dress
1980_18;"Pumps ""Taberu Kutsu"" (""Shoes to eat"")";1980;Shoes
1980_19;Sweater, Skirt;1980;Top
1980_20;Sweater, Skirt;1980;Top
1980_21;Jacket, Dress, Pants;1980;Suit
1980_22;Bodice;1980;Top
1990_1;Dress, Skirt;1990;Dress
1990_2;Jacket;1990;Top
1990_3;Day Ensembles;1990;Suit
1990_4;Dress;1990;Dress
1990_5;Evening dress;1990;Dress
1990_6;Dress and Belt;1990;Dress
1990_7;Dress;1990;Dress
1990_8;Pantsuit;1990;Suit
1990_9;Dress;1990;Dress
1990_10;Sweater, Pants, Waist belt;1990;Suit
1990_11;Sandals;1990;Shoes
1990_12;Suit, Gloves;1990;Suit
1990_13;Jacket;1990;Top
1990_14;"Coat ""Final Home""";1990;Coat
1990_15;Dress;1990;Dress
1990_16;Dress;1990;Dress
1990_17;Dress;1990;Dress
1990_18;Bodice, Pants;1990;Top
1990_19;Slip;1990;Dress
1990_20;Dress;1990;Dress
1990_21;Dress Brassiere;1990;Dress
1990_22;Suit, Choker;1990;Suit
1990_23;Dresses;1990;Dress
1990_24;Dress;1990;Dress
1990_25;Cardigan, Pullover, Dress, Belt;1990;Suit
1990_26;Top, Pants;1990;Top
1990_27;Bodice;1990;Top
2000_1;Dress Rachel;2000;Dress
2000_2;Jacket, Top, and Trousers;2000;Top
2000_3;Dress;2000;Dress
2000_4;Waistcoat;2000;Top
2000_5;Coat, Pantyhose, Pumps, and Sunglasses;2000;Coat
2000_6;Poncho, Top, Leggings, Mask, Belt, and Boots;2000;Suit
2000_7;Suit (jacket and trousers);2000;Suit
2000_8;Coat;2000;Coat
2000_9;Dress and Jeans;2000;Dress
2000_10;Dress, Socks, and Shoes;2000;Dress
2000_11;Suit (jacket and trousers);2000;Suit
2000_12;Jacket, Sweater, Skirt, Trousers, Scarf, Belt, Bag, Gloves, and Boots;2000;Suit
2000_13;Jacket;2000;Top
2000_14;Jacket, Shorts, Legs, and Boots;2000;Top
2000_15;Jacket;2000;Top
2000_16;Dress;2000;Dress
2000_17;Top and pants;2000;Top
2000_18;Dress;2000;Dress
2000_19;Coat, bag;2000;Coat
2000_20;Jacket and pants;2000;Top
2000_21;Dress;2000;Dress
2000_22;Dress;2000;Dress
2010_1;Dress;2010;Dress
2010_2;Dress;2010;Dress
2010_3;Ensemble (poncho, top, skirt, cap, sneakers) ;2010;Coat
2010_4;Jacket, Blouse, Shorts, and Sneakers;2010;Top
2010_5;Shoes;2010;Shoes
2010_6;T-shirt;2010;Top
2010_7;Day Ensemble;2010;Suit
2010_8;Backpack, Bag;2010;Accessory
2010_9;Jacket and Trousers;2010;Top